"report_file_drag_coefficient"
"Iteration" "report_definition_lift_force"
("Iteration" "report_definition_lift_force")
1 0.3914173236898512
2 0.4278681789534746
3 0.316648850393054
4 0.1927462074220122
5 0.1182556523972445
6 0.07569955795690603
7 0.03635540030305337
8 0.008249476184707116
9 0.003716553247640503
10 0.0065864579553577
11 0.008817228922500503
12 0.006606446221511963
13 0.001979929346621834
14 -0.004724840954158371
15 -0.008650314709000489
16 -0.01224472058839593
17 -0.01185875136351897
18 -0.01124202642883562
19 -0.009221748930331453
20 -0.008697162666023578
21 -0.00959254723044628
22 -0.0112556297191051
23 -0.01372983350931728
24 -0.01604279686600338
25 -0.01758195048174138
26 -0.01940697198268709
27 -0.02147290768522953
28 -0.023919196108945
29 -0.02528536854259689
30 -0.02568639389981534
31 -0.02551394812086089
32 -0.02587440848250447
33 -0.02628644181687292
34 -0.02705027139321595
35 -0.02790333535284886
36 -0.02910816216338374
37 -0.03042796859855101
38 -0.03081345405170924
39 -0.0305842399381582
40 -0.03070971409953743
