"report_file_drag_force"
"Iteration" "report_definition_drag_force"
("Iteration" "report_definition_drag_force")
1 34.982576470909
2 29.20383609196722
3 28.15035791307816
4 26.82175615269885
5 26.39080741880392
6 26.58973689576725
7 26.77785712331379
8 26.82386524826039
9 26.95475093263934
10 27.11697905957161
11 27.27625762164915
12 27.41117427296405
13 27.5154465536987
14 27.59060093803113
15 27.63969292866259
16 27.66754148539502
17 27.68107434987612
18 27.68344611954348
19 27.67896268513636
20 27.67011989422096
21 27.65860002074429
22 27.64566621632086
23 27.63232502613081
24 27.61914073106321
25 27.60627482925808
26 27.59368227812075
27 27.58195685763931
28 27.57095420151197
29 27.56037766056309
30 27.55058088869006
31 27.54139553982847
32 27.53296704837152
33 27.52533233343783
34 27.51841627211484
35 27.51210611376209
36 27.50629996117157
37 27.50100879592801
38 27.49627175730635
39 27.49198002525542
40 27.48823488115462
