"report_file_lift_force"
"Iteration" "report_definition_drag_coefficient"
("Iteration" "report_definition_drag_coefficient")
1 118.9883553432279
2 99.33277582301774
3 95.74951671115022
4 91.23046310441786
5 89.76465108436707
6 90.441281958392
7 91.08114667793808
8 91.23763689884488
9 91.68282630149437
10 92.2346226516041
11 92.7763864681944
12 93.23528664273486
13 93.58995426428129
14 93.84558142187458
15 94.01256098184555
16 94.10728396392865
17 94.15331411522492
18 94.16138135899142
19 94.14613158209647
20 94.11605406197607
21 94.07687081885813
22 94.03287828680564
23 93.98750008888031
24 93.94265554783406
25 93.89889397706831
26 93.85606217047874
27 93.8161797878888
28 93.77875578745569
29 93.74278115837787
30 93.70945880506822
31 93.67821612186556
32 93.64954778357662
33 93.62357936543481
34 93.60005534732939
35 93.5785922236806
36 93.55884340534547
37 93.5408462446531
38 93.52473386838894
39 93.51013614032455
40 93.49739755494768
