"report_file_moment"
"Iteration" "report_definition_moment"
("Iteration" "report_definition_moment")
1 0.3590962283128028
2 0.3503803927511626
3 0.2662259681623997
4 0.1822924153943481
5 0.1180119471897799
6 0.1023395573547533
7 0.07374792659275209
8 0.03271807460461342
9 0.01084127021539955
10 -0.001546755197685279
11 -0.007737643560697001
12 -0.01030142960095128
13 -0.01219436479661981
14 -0.01119894579031755
15 -0.008948807095215941
16 -0.005787376673658967
17 -0.002723265423984424
18 0.0004699740653096729
19 0.002602879621408296
20 0.003680942129417009
21 0.00425073581038846
22 0.004486120156015998
23 0.004505245850718456
24 0.005013491925327253
25 0.00485074348493523
26 0.004773991132399201
27 0.004231609065140986
28 0.003644586214106146
29 0.003462879126212712
30 0.003380563881058406
31 0.003702313226885704
32 0.004537708049743168
33 0.005136523888966958
34 0.005622333200748178
35 0.005843296685755072
36 0.006197888345428577
37 0.006713853827891565
38 0.006987726927320428
39 0.007385026518185673
40 0.008163110808858176
